Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo
45261,16.15,137564897.3,1,4
45114,18.6,247583232,2,3
45128,17.59,2662540567,19,5
45282,13.54,63121118,1,3
45254,14,556466788,6,4
44939,14.92,87295585,2,1
44974,17.04,203684807,9,1
45142,17.5,836997208,7,4
45226,18.58,293425858,1,5
45226,8.87,368868462,5,5
45261,5,177710246,3,5
45212,15.12,73505905,1,5
45226,14,122140604,2,4
45247,17.07,71476192,2,4
45219,14.3,123694238,1,4
45233,18.26,89605522,2,5
45219,16.15,296850036,1,4
45198,18.45,174050031,1,4
44960,20.03,10342573552,52,4
45037,21.12,349389112,1,5
44939,18.91,2987928885,17,4
45254,14.88,162889923,2,5
45261,17.23,194423641,1,4
45198,14,81495955,1,4
45282,14,61648434,1,3
45212,15.54,327492129,4,4
45261,16.55,168906264,1,4
45261,16.68,113351824,2,4
45233,8.8,74012499,1,4
44953,17.08,941818834,12,4
45247,18.3,21759719,1,5
45254,8.9,69382978,1,5
45198,19.3,56090001,1,3
45261,16.76,135016724,5,4
45261,15.49,4405239277,50,4
45261,15.86,230123104,1,4
45212,14,14062452,1,4
45100,12.04,408800343,3,3
45247,14,31376426,1,4
44946,17.26,1470834434,16,3
45254,13.25,95229224,1,3
45254,17.15,30179373,1,3
45233,17.74,41978824,1,4
45240,16.72,373584667,2,3
45226,13.88,584972489,7,4
45233,14,348470687,7,4
45233,14,34323004,1,5
45261,14,88010208,1,4
45023,21.56,650160062,7,5
45219,18.58,87808349,1,5
45254,14,50336037,2,3
45254,9.13,138313724,3,4
45282,13.05,63689347,1,4
45233,17.94,793836495,4,5
45240,18.05,91237304,1,4
45247,15.12,193269157,2,3
45205,14,78275036,1,4
45261,15.8,369689784,1,3
45009,11.39,206078217,2,3
45233,17.32,38389978,1,5
45226,18.05,202516964,1,4
45233,15.13,6653429686,85,4
45261,14,35877568,1,3
45009,17.97,2039729051,5,3
45044,17.06,7208166935,30,4
45212,17.46,323745515,1,5
45254,13.25,185627186,2,4
45205,12.61,43909217,1,3
45282,15.25,72328077,1,5
45226,15.27,1072152115,22,3
45233,14,407030712,4,4
45065,16.92,1620464345,10,3
45282,8.95,57517619,1,4
45282,13.73,913310049,9,4
45051,19.07,1273390522,15,3
45233,15.46,27060358,1,4
45191,15.96,225125712,6,1
45261,19,75265495,1,5
45240,16.75,67816235,1,3
45282,14,31225033,1,4
45261,19.98,104628936,1,3
45226,9.24,118941084,2,5
45198,15.44,453970182,5,4
45198,14,246780853,5,4
45226,18.58,273307262,2,5
45100,18.85,268991063,4,3
44988,18.75,181076789,1,2
45016,18.65,648779182,9,3
45212,16.16,99559716,2,4
45233,14.87,129041573,2,5
45023,21.56,473848208,2,4
44960,16.88,825487375,4,5
45226,13.57,1045152557,19,4
45254,14,74323375,1,4
45233,14,33706561,1,3
45254,14,47230434,1,4
44939,16.49,545916924,6,3
45163,14.27,358393921,11,1
45198,14,77727235,1,4
45072,16.72,814643012.6,10,4
45205,15.38,1275738624,21,5
45121,18.61,727654564.3,2,4
45198,18.9,93326942,1,4
45177,21.68,10998219,1,1
45079,14.45,5635824646,117,3
45219,17.6,221120472,1,4
45233,5,77900637,1,5
45261,9.2,67343982,1,4
45198,5,185212311,2,5
45198,19.05,56525903,1,3
44946,18.12,4923090838,30,5
45086,13.88,25204733697,375,4
45205,14,125099372,2,5
45205,8.8,85610432,1,5
45079,14.8,24784032106,408,4
45198,14,61429652,1,4
45226,14,102518939,2,3
45219,14,9800000,1,2
45016,19.91,7823724745,54,5
45226,17.32,81556752,1,5
45107,19.32,2324600912,25,3
45261,14,94987388,2,5
45135,18.74,105094916,5,2
45065,19.06,74401474,3,2
45212,14,74941328,2,4
45170,16.12,9516868924,109,4
45247,16.58,406365555,10,3
45226,18.45,143438023,1,4
45240,16.9,136241536,1,3
45205,18.05,44379792,1,4
45240,8.8,22604201,1,5
45156,17.02,419404012,3,3
45226,5,685221204,7,5
45170,17.35,570471992,24,1
45233,18.8,61038428,1,3
45100,16.73,1575102943,36,3
45261,14,117141428,1,5
44946,18.15,286609841,3,4
45177,17.35,86601943,3,2
45191,19.34,613302634,2,5
44960,18.3,38694104.71,1,2
45135,17.26,539833751,3,3
45212,17.55,733712955.9,1,1
45205,18.35,257660834,1,4
45233,14.84,184220575,2,4
45219,17.88,19890258,1,5
45240,17.7,123579416,1,4
45128,18.02,440797934,2,4
45212,14.51,478158086,5,4
45205,14,193129568,2,4
45212,14,84427846,1,4
45191,17.93,1701549426,3,4
45254,19.2,2185368,1,3
45240,14.89,288878523,3,4
45205,14,42816034,1,4
45282,14,34690906,1,5
45240,14.39,143858689,2,5
45226,16.75,40860729,1,4
45261,14,100913847,1,5
45037,19.65,41390399.28,4,1
45184,13.85,18837518433,219,4
45233,17.05,35012544,1,4
45247,14,26139606,1,4
45254,13.25,163499997,2,4
44981,17.96,1379671586,5,4
