Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo,Valor_promedio_credito
45247,10,218755172,1,5,218755172
45254,12.63,152029848.3,2,3,76014924.17
45016,17.7,189647939,7,4,27092562.71
44967,18.35,588036911,3,4,196012303.7
45051,19.86,4017920508,18,3,223217806
45226,17.8,209476653,2,4,104738326.5
45261,10.25,142441522,1,4,142441522
45282,14,170482516,3,4,56827505.33
45219,18.45,138949644,1,3,138949644
45093,15.7,556051875,11,3,50550170.45
45198,16.59,200308323,2,4,100154161.5
44995,18.38,1858242626,18,3,103235701.4
45261,5,2832702154,24,5,118029256.4
45254,14,103646263,1,5,103646263
44960,20.62,155123148,7,2,22160449.71
45198,19.2,28523036,1,3,28523036
45030,16.29,67334275.86,2,1,33667137.93
45261,5,91132235,1,5,91132235
45212,14,98801707,1,4,98801707
45282,17.04,39576004,1,4,39576004
45261,14.3,120432758,1,3,120432758
45212,8.6,60427995,1,5,60427995
45198,17.6,87499927,1,2,87499927
45261,20,171408622,1,3,171408622
45233,5,117037751,1,4,117037751
45086,17.84,117244509,7,2,16749215.57
45240,14,22296304,1,4,22296304
45205,6.5,96319988,1,5,96319988
45198,19.85,54382274,1,4,54382274
45282,14,280370757,3,4,93456919
45226,18.38,541524639,5,5,108304927.8
45254,14,49492576,1,5,49492576
45233,16.37,489517928,2,3,244758964
45261,16.91,192694413,2,4,96347206.5
44953,17.85,3470063206,40,4,86751580.14
45205,17.55,347089174,1,4,347089174
45240,14,103587924,1,4,103587924
45163,19.69,325348894,1,3,325348894
45205,18.02,23266333,1,5,23266333
45198,9.9,63254106,1,5,63254106
45261,18.45,185157484,1,4,185157484
44946,15.35,1932760376,24,4,80531682.33
45205,17.97,253078913,2,4,126539456.5
45212,14,31925864,1,3,31925864
45107,17.03,614454926,14,3,43889637.57
45219,16.35,217371677,5,5,43474335.4
45247,5,91485846,1,4,91485846
45282,17.75,142256262,1,4,142256262
45233,17.88,5000000,1,2,5000000
45044,23.81,23352648,1,4,23352648
45198,17.55,344670839,1,4,344670839
45219,18.2,57867431,1,3,57867431
45212,15.12,75549474,1,5,75549474
44953,23.21,2164655484,25,5,86586219.36
45205,18.16,35990992,2,3,17995496
45233,9.08,1340993071,17,5,78881945.35
45121,18.02,2891921686,36,5,80331157.94
45212,16.15,73514673,1,4,73514673
44974,17.44,204285396,13,1,15714261.23
45156,19.82,152142844,1,3,152142844
45205,10.15,198782323,1,5,198782323
45212,14,2320000,1,4,2320000
45044,18.91,790339778,5,5,158067955.6
45100,19.46,453063636,6,3,75510606
45079,18.75,788497376,5,3,157699475.2
45254,16.17,179727686,2,4,89863843
45135,17.44,3590544421,27,4,132983126.7
45065,18.11,8425197958,42,4,200599951.4
45219,15.59,54807576,2,4,27403788
45107,18.14,4752754395,21,4,226321637.8
45058,18.16,127585793,1,1,127585793
45072,19.89,1301616918,19,3,68506153.58
45184,19.85,258295777,4,5,64573944.25
45226,8.8,90001401,1,5,90001401
45002,16.51,2279026205,33,4,69061400.15
45226,8.75,44042964,1,3,44042964
45212,14,458573954,5,4,91714790.8
45198,16.44,203162435,2,4,101581217.5
45198,16,207252786,1,4,207252786
45254,14.67,299751467,3,5,99917155.67
45247,18.16,16392121,1,3,16392121
45226,19.05,140424701,1,4,140424701
45177,19.95,173437152,4,1,43359288
45156,19.6,176053941,2,3,88026970.5
45219,17.88,3682908,1,5,3682908
45261,18.58,95051144,1,5,95051144
45240,18.45,102500891,1,4,102500891
45233,17.6,109323483,1,5,109323483
45191,15.38,5197131239,73,4,71193578.62
45212,14,28843566,1,3,28843566
45142,18.49,2648522074,12,3,220710172.8
45156,16.96,3162722543,12,4,263560211.9
45121,16.5,10362793894,29,4,357337720.5
45219,9.09,407945848,6,5,67990974.67
45219,9.09,272314593,3,5,90771531
45212,14,186701145,3,4,62233715
45226,15.12,61653363,1,5,61653363
45233,19.6,246900643,4,4,61725160.75
45240,8.85,111854278,2,4,55927139
45030,18.94,3185037281,14,4,227502662.9
44974,18.55,290646456,1,4,290646456
45240,8.8,48647553,1,5,48647553
45261,9,382258634,5,5,76451726.8
45261,14.71,2372302276,34,5,69773596.35
45079,17.94,3666991736,8,4,458373967
45282,18.14,222744508,3,5,74248169.33
45240,18.45,104318135,1,4,104318135
44967,19.17,234729535.9,6,1,39121589.31
45044,18.42,756568075,9,4,84063119.44
45233,14,497569199,4,3,124392299.8
45219,18.45,17404799,1,3,17404799
45282,14.48,449226857,7,5,64175265.29
45261,14,29902208,1,4,29902208
45254,8.74,151672486,2,4,75836243
45219,18.05,446337414,1,4,446337414
45135,18.99,2277102975,26,3,87580883.65
45219,18.95,20713128,1,3,20713128
44960,16.85,5240041199,31,3,169033587.1
45247,5,294094036,3,4,98031345.33
45023,18.15,359165934,2,5,179582967
45002,18.53,1766978522,7,3,252425503.1
44960,17.63,21903597225,62,4,353283826.2
45016,16.7,3000107492,94,3,31916037.15
45254,18.05,18495005,1,3,18495005
45205,18.75,266999562,2,5,133499781
45247,19.75,61554105,1,4,61554105
45044,18.35,1103988739,13,4,84922210.69
45219,5,71656574,2,5,35828287
45240,15,101329805,1,4,101329805
45226,14,225827419,2,4,112913709.5
45261,14,272889695,2,4,136444847.5
45205,13.94,924397952,11,3,84036177.45
44960,24.71,1006707221,4,4,251676805.3
45079,18.94,18910194508,85,4,222472876.6
45254,8.99,710196056,14,5,50728289.71
45240,17.18,507398512,1,5,507398512
45198,17,393564542,2,3,196782271
45212,19.63,159828883,1,4,159828883
45261,14,653211699,6,4,108868616.5
44960,17.6,1774781479,23,3,77164412.13
45184,15.78,5928075332,87,4,68138796.92
45233,16.85,305761533,1,4,305761533
45205,14,80683096,1,4,80683096
45247,16.5,900495023,1,4,900495023
45058,20.34,80920995,1,4,80920995
45023,23.82,732920389,11,5,66629126.27
45261,17.69,1117278702,6,4,186213117
44960,15.46,1987223191,4,3,496805797.8
45016,17.23,1370521579,4,4,342630394.8
45282,14,68791066,1,4,68791066
45079,17.73,688265339,4,3,172066334.8
45198,14,38745861,1,5,38745861
45212,14,71574628,1,4,71574628
45114,19.04,1082891402,7,4,154698771.7
45191,15.79,387623182,10,3,38762318.2
45023,17.9,2170080837,8,4,271260104.6
45205,14,51703015,1,5,51703015
45261,19.2,8600000,1,3,8600000
45261,8.7,56939463,1,4,56939463
45233,15.75,334995972,3,4,111665324
45261,5,111340318,2,5,55670159
45226,16.08,466687412,1,3,466687412
45058,18.61,2007414207,10,4,200741420.7
45254,14.64,1794633111,25,5,71785324.44
45212,18.12,525954175,4,4,131488543.8
45226,18.9,121799945,1,4,121799945
45226,8.7,46481217,1,4,46481217
45121,23.48,1683546386,9,5,187060709.6
45037,16.01,1133833191,18,3,62990732.83
45233,10.57,386584205,2,5,193292102.5
45247,16.75,61918892,1,4,61918892
45205,18.86,12504445,1,3,12504445
45156,16.89,409263705,6,4,68210617.5
45184,16.46,2430570646,28,3,86806094.5
45051,15.44,2754387469,33,4,83466286.94
45037,20.09,16545182128,75,4,220602428.4
45009,18.3,53488536.47,2,2,26744268.24
45219,5,216411202,2,4,108205601
45121,15.8,1249261337,15,3,83284089.13
45233,14,100204813,1,5,100204813
45198,15.47,602702745,7,4,86100392.14
45212,14,126419998,2,4,63209999
44981,25.3,2307984202,9,4,256442689.1
45086,23.68,1502794176,9,5,166977130.7
45051,21.29,860425682,10,4,86042568.2
45261,18.95,6142561,1,3,6142561
45079,18.11,210643557,12,2,17553629.75
44946,19.16,2115761658,11,3,192341968.9
44967,16.51,35517409,2,2,17758704.5
45233,18.58,8849855,1,2,8849855
45254,16.59,212611862,3,4,70870620.67
45198,19.45,133798092,1,4,133798092
45282,17.74,75421637,1,5,75421637
45226,17.74,9400000,1,4,9400000
45065,14.34,124116506,2,2,62058253
45205,14,58340204,1,4,58340204
45212,8.5,77809652,1,4,77809652
45254,14,100642786,1,3,100642786
45233,17.9,19684447,2,4,9842223.5
45226,15.53,57221848,1,5,57221848
45128,21.94,969642405,16,4,60602650.31
45261,9.1,150099328,2,5,75049664
45205,16.77,139636297,1,4,139636297
45170,13.63,4616064308,52,4,88770467.46
45233,17.1,7200000,1,1,7200000
45121,23.78,900976922,4,4,225244230.5
45219,18.16,175666915,1,5,175666915
45247,5,98399938,1,5,98399938
45100,22.09,812328196,12,4,67694016.33
45261,19.85,26428064,1,3,26428064
45198,16.75,70736996,1,4,70736996
45058,25.55,1654763475,9,4,183862608.3
45100,17.76,146095306,8,1,18261913.25
45212,17.15,44840942,2,4,22420471
45205,14,24480372,1,1,24480372
45254,14,39686655,1,3,39686655
45107,17.32,8325695917,43,4,193620835.3
45212,8.79,169680996,2,5,84840498
45205,14.69,109070952,2,5,54535476
45044,17.51,886156677,21,4,42197937
45198,13.82,2416271367,24,4,100677973.6
45121,17.87,7384340765,35,4,210981164.7
45212,13.17,157886484,3,4,52628828
45261,5,52513269,1,5,52513269
45093,16.71,1636982566,50,3,32739651.32
45198,18.45,207427312,1,4,207427312
